ENOLA COFFEE TABLE WHITE,197741A  |  3560232709777,"€44.10
HT",In arrival,https://images.easyrea.com/images/produits/197741A/197741A.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Blanc', 'Assortment number': '0', 'Assortment details': 'BLANC/BOIS', 'Product dimensions': 'D. 55 x H. 38 cm', 'Product Weight': '6.300 Kg', 'Material': 'MDF E1', 'Assembly': 'A monter soi-même', 'Packaging': 'MASTER BOITE KRAFT/STICKER IMPRIME T3 /HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9403609000', 'ECO MOB': '0.66 TTC', 'Gencod': '3560232709777'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 18', 'Packing dimensions': '60.00 x 60.00 x 26.50 cm', 'Packing details dimensions': 'L.60.00 x l.60.00 x H.26.50 cm', 'Packing weight': '9.00 kg', 'Volume': '0.0954 m3'}","Description
Collection: Olme design","['https://images.easyrea.com/images/produits/197741A/197741A_0.jpg', 'https://images.easyrea.com/images/produits/197741A/197741A_1.jpg', 'https://images.easyrea.com/images/produits/197741A/197741A.jpg']"
ENOLA COFFEE TABLE BLACK,197741B  |  3560232709791,"€44.10
HT",In arrival,https://images.easyrea.com/images/produits/197741B/197741B.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Noir', 'Assortment number': '0', 'Assortment details': 'NOIR/BOIS', 'Product dimensions': 'D. 55 x H. 38 cm', 'Product Weight': '6.300 Kg', 'Material': 'MDF E1', 'Assembly': 'A monter soi-même', 'Packaging': 'MASTER BOITE KRAFT/STICKER IMPRIME T3 /HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9403601000', 'ECO MOB': '0.66 TTC', 'Gencod': '3560232709791'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 18', 'Packing dimensions': '60.00 x 60.00 x 26.50 cm', 'Packing details dimensions': 'L.60.00 x l.60.00 x H.26.50 cm', 'Packing weight': '9.00 kg', 'Volume': '0.0954 m3'}","Description
Collection: Olme design","['https://images.easyrea.com/images/produits/197741B/197741B_0.jpg', 'https://images.easyrea.com/images/produits/197741B/197741B_1.jpg', 'https://images.easyrea.com/images/produits/197741B/197741B.jpg']"
NEILE MEDIUM COFFEE TABLE NATURAL,140363  |  3560234477223,"€44.10
HT",In arrival,https://images.easyrea.com/images/produits/140363/140363.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Marron', 'Assortment number': '0', 'Assortment details': 'Effet bois', 'Product dimensions': 'L. 97 x P. 65 x H. 50 cm', 'Product Weight': '8.200 Kg', 'Material': 'IRON/MDF E1', 'Assembly': 'A monter soi-même', 'Packaging': 'STICKER IMPRIME T3 /MASTER BOITE KRAFT', 'Implantation': 'AU_SOL', 'Customs code': '9403601000', 'ECO MOB': '1.00 TTC', 'Gencod': '3560234477223'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 20', 'Packing dimensions': '101.00 x 11.00 x 69.00 cm', 'Packing details dimensions': 'L.101.00 x l.11.00 x H.69.00 cm', 'Packing weight': '9.50 kg', 'Volume': '0.0767 m3'}","Description
Nombre de couverts : N/A
Extensible : N/A
Pliable : NON
Empilable : NON
Nombre de tiroirs : N/A","['https://images.easyrea.com/images/produits/140363/140363_0.jpg', 'https://images.easyrea.com/images/produits/140363/140363.jpg', 'https://easyrea.com/assets/img/empty.svg']"
NEILE MEDIUM COFFEE TABLE WHITE,140363B  |  3560232710315,"€44.10
HT",In stock,https://images.easyrea.com/images/produits/140363B/140363B.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Beige', 'Assortment number': '0', 'Assortment details': 'METAL FILAIRE BLC / EFFET CHENE CLAIR', 'Product dimensions': 'L. 97 x P. 50 x H. 65 cm', 'Product Weight': '8.200 Kg', 'Material': 'MDF E1/IRON', 'Assembly': 'A monter soi-même', 'Packaging': 'MASTER BOITE KRAFT/STICKER IMPRIME T3', 'Implantation': 'AU_SOL', 'Customs code': '9403208000', 'ECO MOB': '1.00 TTC', 'Gencod': '3560232710315'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 21', 'Packing dimensions': '101.00 x 11.00 x 69.00 cm', 'Packing details dimensions': 'L.101.00 x l.11.00 x H.69.00 cm', 'Packing weight': '12.50 kg', 'Volume': '0.0767 m3'}",,"['https://images.easyrea.com/images/produits/140363B/140363B_0.jpg', 'https://images.easyrea.com/images/produits/140363B/140363B_1.jpg', 'https://images.easyrea.com/images/produits/140363B/140363B.jpg']"
NEILE LARGE COFFEE TABLE NATURAL,140364  |  3560234477230,"€55.13
HT",In stock,https://images.easyrea.com/images/produits/140364/140364.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Marron', 'Assortment number': '0', 'Assortment details': 'Effet bois', 'Product dimensions': 'L. 112 x P. 80 x H. 40 cm', 'Product Weight': '10.200 Kg', 'Material': 'MDF E1', 'Assembly': 'A monter soi-même', 'Packaging': 'STICKER IMPRIME T3 /MASTER BOITE KRAFT', 'Implantation': 'AU_SOL', 'Customs code': '9403601000', 'ECO MOB': '1.50 TTC', 'Gencod': '3560234477230'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 14', 'Packing dimensions': '116.00 x 11.00 x 84.00 cm', 'Packing details dimensions': 'L.116.00 x l.11.00 x H.84.00 cm', 'Packing weight': '13.00 kg', 'Volume': '0.1072 m3'}","Description
Nombre de couverts : N/A
Extensible : N/A
Pliable : NON
Empilable : NON
Nombre de tiroirs : N/A","['https://images.easyrea.com/images/produits/140364/140364_0.jpg', 'https://images.easyrea.com/images/produits/140364/140364.jpg', 'https://easyrea.com/assets/img/empty.svg']"
NEILE LARGE COFFEE TABLE WHITE,140364B  |  3560232710339,"€55.13
HT",In stock,https://images.easyrea.com/images/produits/140364B/140364B.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Beige', 'Assortment number': '0', 'Assortment details': 'METAL FILAIRE BLC / EFFET CHENE CLAIR', 'Product dimensions': 'L. 112 x P. 40 x H. 80 cm', 'Product Weight': '10.200 Kg', 'Material': 'MDF E1', 'Assembly': 'A monter soi-même', 'Packaging': 'MASTER BOITE KRAFT/STICKER IMPRIME T3', 'Implantation': 'AU_SOL', 'Customs code': '9403208000', 'ECO MOB': '1.50 TTC', 'Gencod': '3560232710339'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 17', 'Packing dimensions': '116.00 x 11.00 x 84.00 cm', 'Packing details dimensions': 'L.116.00 x l.11.00 x H.84.00 cm', 'Packing weight': '12.50 kg', 'Volume': '0.1072 m3'}",,"['https://images.easyrea.com/images/produits/140364B/140364B_0.jpg', 'https://images.easyrea.com/images/produits/140364B/140364B_1.jpg', 'https://images.easyrea.com/images/produits/140364B/140364B.jpg']"
TAHO COFFEE TABLE,166738  |  3560233812865,"€49.62
HT",In stock,https://images.easyrea.com/images/produits/166738/166738.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Transparent', 'Assortment number': '0', 'Assortment details': 'VERRE TREMPE', 'Product dimensions': 'L. 110 x P. 60 x H. 45 cm', 'Product Weight': '21.000 Kg', 'Material': 'IRON/TEMP GLAS', 'Assembly': 'A monter soi-même', 'Packaging': 'STICKER IMPRIME T3 /MASTER BOITE KRAFT', 'Implantation': 'AU_SOL', 'Customs code': '9403208000', 'ECO MOB': '2.20 TTC', 'Gencod': '3560233812865'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 20', 'Packing dimensions': '116.50 x 65.00 x 6.50 cm', 'Packing details dimensions': 'L.116.50 x l.65.00 x H.6.50 cm', 'Packing weight': '22.90 kg', 'Volume': '0.0492 m3'}","Description
Nombre de couverts : /
Extensible : NON
Pliable : NON
Empilable : NON
Nombre de tiroirs : /","['https://images.easyrea.com/images/produits/166738/166738_0.jpg', 'https://images.easyrea.com/images/produits/166738/166738.jpg', 'https://easyrea.com/assets/img/empty.svg']"
ARDEN RECTANGLE COFFEE TABLE,197729  |  3560232702037,"€77.18
HT",In stock,https://images.easyrea.com/images/produits/197729/197729.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Beige', 'Assortment number': '0', 'Assortment details': 'PLACAGE FRENE', 'Product dimensions': 'L. 110 x P. 50 x H. 34,5 cm', 'Product Weight': '14.000 Kg', 'Material': 'MDF E1', 'Assembly': 'A monter soi-même', 'Packaging': 'MASTER BOITE KRAFT/STICKER IMPRIME T3 /HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9403601000', 'ECO MOB': '2.20 TTC', 'Gencod': '3560232702037'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 22', 'Packing dimensions': '118.00 x 37.00 x 16.50 cm', 'Packing details dimensions': 'L.118.00 x l.37.00 x H.16.50 cm', 'Packing weight': '16.00 kg', 'Volume': '0.0720 m3'}","Description
Collection: Olme design","['https://images.easyrea.com/images/produits/197729/197729_0.jpg', 'https://images.easyrea.com/images/produits/197729/197729_1.jpg', 'https://images.easyrea.com/images/produits/197729/197729.jpg']"
ARDEN ROUND COFFEE TABLE,197730  |  3560232702051,"€93.72
HT",In stock,https://images.easyrea.com/images/produits/197730/197730.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Beige', 'Assortment number': '0', 'Assortment details': 'PLACAGE FRENE', 'Product dimensions': 'D. 82 x P. 40 cm', 'Product Weight': '11.000 Kg', 'Material': 'MDF E1/ASH', 'Assembly': 'A monter soi-même', 'Packaging': 'MASTER BOITE KRAFT/STICKER IMPRIME T3 /HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9403601000', 'ECO MOB': '2.20 TTC', 'Gencod': '3560232702051'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 16', 'Packing dimensions': '87.00 x 86.00 x 10.00 cm', 'Packing details dimensions': 'L.87.00 x l.86.00 x H.10.00 cm', 'Packing weight': '13.00 kg', 'Volume': '0.0748 m3'}","Description
Collection: Olme design","['https://images.easyrea.com/images/produits/197730/197730_0.jpg', 'https://images.easyrea.com/images/produits/197730/197730_1.jpg', 'https://images.easyrea.com/images/produits/197730/197730.jpg']"
COLVA 2-DOOR COFFEE TABLE,184923  |  3560231550738,"€88.20
HT",In arrival,https://images.easyrea.com/images/produits/184923/184923.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Beige', 'Assortment number': '0', 'Assortment details': 'Placage Effet Bois', 'Product dimensions': 'L. 120 x P. 60 x H. 40,5 cm', 'Packing dimensions': 'Hauteur entre étagères : 22 cm', 'Product Weight': '24.180 Kg', 'Material': 'MDF E1', 'Assembly': 'A monter soi-même', 'Packaging': 'STICKER IMPRIME T3 /MASTER BOITE KRAFT', 'Implantation': 'AU_SOL', 'Customs code': '9403601000', 'ECO MOB': '2.20 TTC', 'Gencod': '3560231550738'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 10', 'Packing dimensions': '128.20 x 67.20 x 13.80 cm', 'Packing details dimensions': 'L.128.20 x l.67.20 x H.13.80 cm', 'Packing weight': '25.00 kg', 'Volume': '0.1189 m3'}","Description
Collection: Fresh vibes","['https://images.easyrea.com/images/produits/184923/184923_0.jpg', 'https://images.easyrea.com/images/produits/184923/184923_1.jpg', 'https://images.easyrea.com/images/produits/184923/184923_2.jpg', 'https://images.easyrea.com/images/produits/184923/184923_3.jpg', 'https://images.easyrea.com/images/produits/184923/184923_4.jpg', 'https://images.easyrea.com/images/produits/184923/184923_5.jpg', 'https://images.easyrea.com/images/produits/184923/184923_6.jpg', 'https://images.easyrea.com/images/produits/184923/184923.jpg']"
COLVA COFFEE TABLE DIAM. 70 CM,197748  |  3560232710131,"€71.67
HT",In arrival,https://images.easyrea.com/images/produits/197748/197748.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Beige', 'Assortment number': '0', 'Assortment details': 'PLACAGE EFFET BOIS', 'Product dimensions': 'D. 70 x P. 40 cm', 'Product Weight': '14.120 Kg', 'Material': 'PART BDE1/MDF E1', 'Assembly': 'A monter soi-même', 'Packaging': 'MASTER BOITE KRAFT/STICKER IMPRIME T3 /HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9403601000', 'ECO MOB': '1.50 TTC', 'Gencod': '3560232710131'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 25', 'Packing dimensions': '78.00 x 78.00 x 11.50 cm', 'Packing details dimensions': 'L.78.00 x l.78.00 x H.11.50 cm', 'Packing weight': '15.70 kg', 'Volume': '0.0700 m3'}",,"['https://images.easyrea.com/images/produits/197748/197748_0.jpg', 'https://images.easyrea.com/images/produits/197748/197748_1.jpg', 'https://images.easyrea.com/images/produits/197748/197748.jpg']"
