BAYA CHAIR BLACK PP,157166A  |  3560238338520,"€22.06
HT",In stock,https://images.easyrea.com/images/produits/157166A/157166A.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Noir', 'Assortment number': '0', 'Assortment details': 'NOIR', 'Product dimensions': 'L. 48 x P. 52,5 x H. 82 cm', 'Packing dimensions': ""Hauteur d'assise : 46 cm"", 'Product Weight': '5.020 Kg', 'Material': 'PP/BEECH', 'Assembly': 'A monter soi-même', 'Packaging': 'STICKER IMPRIME T3 /HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9401800000', 'ECO MOB': '1.20 TTC', 'Gencod': '3560238338520'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '4 / 1 / 24', 'Packing dimensions': '68.00 x 57.50 x 50.50 cm', 'Packing details dimensions': 'L.68.00 x l.57.50 x H.50.50 cm', 'Packing weight': '22.00 kg', 'Volume': '0.1975 m3'}","Description
Tissu déhoussable : /
Pliable : /
Empilable : /"
BAYA CHAIR WHITE PP,157166B  |  3560238338537,"€22.06
HT",In stock,https://images.easyrea.com/images/produits/157166B/157166B.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Blanc', 'Assortment number': '0', 'Assortment details': 'BLANC', 'Product dimensions': 'L. 48 x P. 52,5 x H. 82 cm', 'Packing dimensions': ""Hauteur d'assise : 46 cm"", 'Product Weight': '5.420 Kg', 'Material': 'PP/BEECH', 'Assembly': 'A monter soi-même', 'Packaging': 'STICKER IMPRIME T3 /HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9401800000', 'ECO MOB': '1.20 TTC', 'Gencod': '3560238338537'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '4 / 1 / 24', 'Packing dimensions': '68.00 x 57.50 x 50.50 cm', 'Packing details dimensions': 'L.68.00 x l.57.50 x H.50.50 cm', 'Packing weight': '22.00 kg', 'Volume': '0.1975 m3'}","Description
Tissu déhoussable : /
Pliable : /
Empilable : /"
BAYA CHAIR LIGHT GREY PP,157166C  |  3560238338544,"€22.06
HT",In stock,https://images.easyrea.com/images/produits/157166C/157166C.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Gris', 'Assortment number': '0', 'Assortment details': 'GRIS', 'Product dimensions': 'L. 48 x P. 52,5 x H. 82 cm', 'Packing dimensions': ""Hauteur d'assise : 46 cm"", 'Product Weight': '5.020 Kg', 'Material': 'PP/BEECH', 'Assembly': 'A monter soi-même', 'Packaging': 'STICKER IMPRIME T3 /HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9401800000', 'ECO MOB': '1.20 TTC', 'Gencod': '3560238338544'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '4 / 1 / 24', 'Packing dimensions': '68.00 x 57.50 x 50.50 cm', 'Packing details dimensions': 'L.68.00 x l.57.50 x H.50.50 cm', 'Packing weight': '22.00 kg', 'Volume': '0.1975 m3'}","Description
Tissu déhoussable : /
Pliable : /
Empilable : /"
BAYA CHAIR KHAKI PP,157166D  |  3560238338551,"€22.06
HT",In stock,https://images.easyrea.com/images/produits/157166D/157166D.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Vert Kaki', 'Assortment number': '0', 'Assortment details': 'KAKI', 'Product dimensions': 'L. 48 x P. 52,5 x H. 82 cm', 'Packing dimensions': ""Hauteur d'assise : 46 cm Profondeur de l'assise 41 cm longueur entre les pieds : 40 cm"", 'Product Weight': '4.400 Kg', 'Material': 'PP/BEECH', 'Assembly': 'A monter soi-même', 'Packaging': 'STICKER IMPRIME/HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9401800000', 'ECO MOB': '1.20 TTC', 'Gencod': '3560238338551'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '4 / 1 / 24', 'Packing dimensions': '68.00 x 57.50 x 50.50 cm', 'Packing details dimensions': 'L.68.00 x l.57.50 x H.50.50 cm', 'Packing weight': '22.00 kg', 'Volume': '0.1975 m3'}","Description
Tissu déhoussable : /
Pliable : /
Empilable : /"
BAYA CHAIR YELLOW PP,157166E  |  3560238338568,"€22.06
HT",In stock,https://images.easyrea.com/images/produits/157166E/157166E.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Jaune', 'Assortment number': '0', 'Assortment details': 'JAUNE', 'Product dimensions': 'L. 48 x P. 52,5 x H. 82 cm', 'Packing dimensions': ""Hauteur d'assise : 46 cm"", 'Product Weight': '5.020 Kg', 'Material': 'PP/BEECH', 'Assembly': 'A monter soi-même', 'Packaging': 'STICKER IMPRIME T3 /HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9401800000', 'ECO MOB': '1.20 TTC', 'Gencod': '3560238338568'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '4 / 1 / 24', 'Packing dimensions': '68.00 x 57.50 x 50.50 cm', 'Packing details dimensions': 'L.68.00 x l.57.50 x H.50.50 cm', 'Packing weight': '22.00 kg', 'Volume': '0.1975 m3'}","Description
Tissu déhoussable : /
Pliable : /
Empilable : /"
BAYA CHAIR TEAL PP,157166F  |  3560238338575,"€22.06
HT",In stock,https://images.easyrea.com/images/produits/157166F/157166F.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Bleu Canard', 'Assortment number': '0', 'Assortment details': 'CANARD', 'Product dimensions': 'L. 48 x P. 52,5 x H. 82 cm', 'Packing dimensions': ""Hauteur d'assise : 46 cm"", 'Product Weight': '4.400 Kg', 'Material': 'PP/BEECH', 'Assembly': 'A monter soi-même', 'Packaging': 'STICKER IMPRIME T3 /HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9401610000', 'ECO MOB': '1.20 TTC', 'Gencod': '3560238338575'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '4 / 1 / 24', 'Packing dimensions': '68.00 x 57.50 x 50.50 cm', 'Packing details dimensions': 'L.68.00 x l.57.50 x H.50.50 cm', 'Packing weight': '22.00 kg', 'Volume': '0.1975 m3'}","Description
Tissu déhoussable : /
Pliable : /
Empilable : /"
BAYA CHAIR DARK GREY PP,157166G  |  3560233839909,"€22.06
HT",In stock,https://images.easyrea.com/images/produits/157166G/157166G.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Gris Foncé', 'Assortment number': '0', 'Assortment details': 'GRIS F', 'Product dimensions': 'L. 48 x P. 52,5 x H. 82 cm', 'Packing dimensions': ""Hauteur d'assise : 46 cm"", 'Product Weight': '5.020 Kg', 'Material': 'PP/BEECH', 'Assembly': 'A monter soi-même', 'Packaging': 'STICKER IMPRIME T3 /HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9401800000', 'ECO MOB': '1.20 TTC', 'Gencod': '3560233839909'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '4 / 1 / 24', 'Packing dimensions': '68.00 x 57.50 x 50.50 cm', 'Packing details dimensions': 'L.68.00 x l.57.50 x H.50.50 cm', 'Packing weight': '21.90 kg', 'Volume': '0.1975 m3'}","Description
Tissu déhoussable : /
Pliable : /
Empilable : /"
BAYA CHAIR LIGHT PINK PP,157166H  |  3560233839916,"€22.06
HT",In stock,https://images.easyrea.com/images/produits/157166H/157166H.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Rose Clair', 'Assortment number': '0', 'Assortment details': 'ROSE POUDRE', 'Product dimensions': 'L. 48 x P. 52,5 x H. 82 cm', 'Packing dimensions': ""Hauteur d'assise : 46 cm"", 'Product Weight': '5.020 Kg', 'Material': 'PP/BEECH', 'Assembly': 'A monter soi-même', 'Packaging': 'STICKER IMPRIME T3 /HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9401610000', 'ECO MOB': '1.20 TTC', 'Gencod': '3560233839916'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '4 / 1 / 24', 'Packing dimensions': '68.00 x 57.50 x 50.50 cm', 'Packing details dimensions': 'L.68.00 x l.57.50 x H.50.50 cm', 'Packing weight': '21.90 kg', 'Volume': '0.1975 m3'}","Description
Tissu déhoussable : /
Pliable : /
Empilable : /"
BAYA CHAIR TERRACOTTA PP,157166I  |  3560233839923,"€22.06
HT",In stock,https://images.easyrea.com/images/produits/157166I/157166I.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Terracotta', 'Assortment number': '0', 'Assortment details': 'Terracotta', 'Product dimensions': 'L. 48 x P. 52,5 x H. 82 cm', 'Packing dimensions': ""Hauteur d'assise : 46 cm"", 'Product Weight': '5.020 Kg', 'Material': 'PP/BEECH', 'Assembly': 'A monter soi-même', 'Packaging': 'STICKER IMPRIME T3 /HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9401610000', 'ECO MOB': '1.20 TTC', 'Gencod': '3560233839923'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '4 / 1 / 24', 'Packing dimensions': '68.00 x 57.50 x 50.50 cm', 'Packing details dimensions': 'L.68.00 x l.57.50 x H.50.50 cm', 'Packing weight': '21.90 kg', 'Volume': '0.1975 m3'}","Description
Tissu déhoussable : /
Pliable : /
Empilable : /"
BAYA CHAIR BEIGE PP,157166J  |  3560232592799,"€22.06
HT",In stock,https://images.easyrea.com/images/produits/157166J/157166J.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Beige', 'Assortment number': '0', 'Assortment details': 'BEIGE', 'Product dimensions': 'L. 48 x P. 52,5 x H. 82 cm', 'Packing dimensions': 'Hauteur assise : H. 46 cm', 'Product Weight': '4.520 Kg', 'Material': 'PP/BEECH', 'Assembly': 'A monter soi-même', 'Packaging': 'STICKER IMPRIME T3 /HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9401610000', 'ECO MOB': '1.20 TTC', 'Gencod': '3560232592799'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '4 / 1 / 24', 'Packing dimensions': '68.00 x 57.50 x 50.50 cm', 'Packing details dimensions': 'L.68.00 x l.57.50 x H.50.50 cm', 'Packing weight': '21.90 kg', 'Volume': '0.1975 m3'}",
